Date,Admissions,BedOccupancy,ERVisits,ScheduledSurgeries,FluCases,DayOfWeek,IsHoliday,RequiredNurses
01/01/2023,28,210,142,15,8,7,1,94
01/02/2023,22,200,135,12,7,1,0,87
01/03/2023,30,215,150,18,10,2,0,102
01/04/2023,32,220,160,20,12,3,0,110
01/05/2023,29,218,155,19,11,4,0,105
01/06/2023,31,225,165,21,14,5,0,113
01/07/2023,27,230,170,14,13,6,0,108
01/08/2023,26,228,158,10,9,7,0,99
01/09/2023,33,235,172,22,15,1,0,117
01/10/2023,35,240,180,24,18,2,0,125
01/11/2023,34,245,185,23,20,3,0,129
01/12/2023,36,250,190,25,22,4,0,135
01/13/2023,33,248,182,21,19,5,0,127
01/14/2023,30,242,170,15,14,6,0,112
01/15/2023,29,235,160,12,10,7,0,101
01/16/2023,31,238,168,18,12,1,1,106
01/17/2023,34,245,178,22,16,2,0,119
01/18/2023,37,255,195,26,24,3,0,138
01/19/2023,38,260,200,27,26,4,0,143
01/20/2023,36,258,190,24,22,5,0,133
01/21/2023,32,250,175,18,15,6,0,115
01/22/2023,30,242,162,14,11,7,0,102
01/23/2023,35,248,180,21,16,1,0,119
01/24/2023,39,265,205,28,27,2,0,147
01/25/2023,40,270,210,29,30,3,0,152
01/26/2023,38,268,202,26,28,4,0,144
01/27/2023,37,262,195,24,25,5,0,138
01/28/2023,33,255,178,17,18,6,0,119
01/29/2023,31,248,165,13,13,7,0,106
01/30/2023,36,260,185,22,19,1,0,125
01/31/2023,41,275,215,30,32,2,0,158
02/01/2023,42,280,220,31,35,3,0,163
02/02/2023,40,278,212,28,33,4,0,154
02/03/2023,38,272,200,25,28,5,0,142
02/04/2023,34,265,182,19,20,6,0,122
02/05/2023,32,258,170,14,15,7,0,109
02/06/2023,37,270,190,23,22,1,0,131
02/07/2023,43,285,225,32,36,2,0,168
02/08/2023,44,290,230,33,38,3,0,173
02/09/2023,42,288,220,30,36,4,0,163
02/10/2023,40,280,208,27,32,5,0,149
02/11/2023,36,272,190,21,24,6,0,129
02/12/2023,33,265,175,15,17,7,0,112
02/13/2023,38,278,195,24,23,1,0,135
02/14/2023,44,292,232,34,37,2,0,171
02/15/2023,45,298,240,35,40,3,0,179
02/16/2023,43,295,228,32,38,4,0,169
02/17/2023,41,288,215,28,33,5,0,152
02/18/2023,37,280,195,22,25,6,0,132
02/19/2023,34,272,180,16,18,7,0,115
02/20/2023,39,285,200,25,24,1,1,139
02/21/2023,45,300,240,36,39,2,0,177
02/22/2023,46,305,245,37,42,3,0,182
02/23/2023,44,302,235,34,40,4,0,172
02/24/2023,42,295,220,30,35,5,0,156
02/25/2023,38,288,200,23,27,6,0,135
02/26/2023,35,280,185,17,19,7,0,119
02/27/2023,40,292,210,26,26,1,0,144
02/28/2023,46,308,250,38,43,2,0,185
03/01/2023,44,305,240,35,41,3,0,175
03/02/2023,42,300,228,32,37,4,0,162
03/03/2023,40,292,215,28,32,5,0,148
03/04/2023,36,285,195,22,25,6,0,128
03/05/2023,33,278,180,16,18,7,0,113
03/06/2023,38,290,200,25,24,1,0,135
03/07/2023,44,305,240,35,39,2,0,174
03/08/2023,45,310,245,36,41,3,0,180
03/09/2023,43,308,235,33,38,4,0,170
03/10/2023,41,300,220,29,33,5,0,154
03/11/2023,37,292,200,23,26,6,0,133
03/12/2023,34,285,185,17,19,7,0,117
03/13/2023,39,298,210,26,25,1,0,141
03/14/2023,45,312,250,37,42,2,0,181
03/15/2023,46,318,255,38,44,3,0,187
03/16/2023,44,315,245,35,42,4,0,177
03/17/2023,42,308,228,31,36,5,0,159
03/18/2023,38,300,205,24,28,6,0,137
03/19/2023,35,292,190,18,20,7,0,121
03/20/2023,40,305,215,27,26,1,0,147
03/21/2023,46,320,258,39,45,2,0,186
03/22/2023,47,325,262,40,47,3,0,191
03/23/2023,45,322,250,37,45,4,0,181
03/24/2023,43,315,235,33,40,5,0,164
03/25/2023,39,308,210,26,30,6,0,139
03/26/2023,36,300,195,19,22,7,0,123
03/27/2023,41,312,220,28,27,1,0,150
